chip_id,country,cluster
g15-1_00071_10,finland,0
g23_00096_6,netherlands,1
g6_00046_5,denmark,2
g2_00005_3,belgium,1
g1_00002_11,germany,0
g23_00092_3,netherlands,1
g14-1_00052_3,finland,0
g0_0000000512-0000001024,portugal,0
g2_0000001536-0000011264,brazil,2
g14-2_00075_6,croatia,0
g15-1_00124_8,finland,1
g7_00029_0,spain,0
g14-2_00026_15,croatia,0
g0_00036_16,luxembourg,0
g2_00069_17,slovakia,2
g82_00005_15,austria,0
g6_00105_10,denmark,2
g25_00009_6,latvia,1
1592596,rwanda,1
g82_00019_0,austria,0
g2_0182,india,1
g53_0000000000-0000000512,vietnam,0
g2_1837,india,1
g25_00059_5,latvia,2
g2_1614,india,1
g78_00035_8,austria,1
g31_00040_18,latvia,0
g14-2_00062_0,croatia,0
g6-0_00060_11,sweden,0
g2_00011_17,germany,0
g10_00102_13,estonia,2
g212_00051_7,france,1
g15-1_00018_15,finland,1
g6_00040_7,denmark,2
g10_00079_7,estonia,0
g14-2_00022_10,croatia,1
g16_00025_14,netherlands,1
g7_00032_2,spain,0
g2_00019_9,belgium,0
1592657,rwanda,0
g11_00105_7,lithuania,0
g82_00022_5,austria,0
g212_00076_9,france,0
g2_00071_9,slovakia,2
g95_00054_0,austria,0
g31_00032_17,latvia,1
g2_00015_14,germany,0
g16_00019_1,netherlands,0
g16_00069_18,netherlands,0
g10-3_00079_0,croatia,0
g25_00052_12,latvia,0
g14-2_00016_15,croatia,2
g78_00029_16,austria,0
g6_00020_5,belgium,0
g1_00016_5,spain,0
g16_00104_17,netherlands,0
g7_00021_2,spain,0
g0_1101,india,1
g13-5_00012_0,sweden,0
g23_00057_15,netherlands,1
g2_0000010752-0000001536,brazil,2
g83_00030_8,austria,0
g23_00017_11,netherlands,0
g0_00029_1,luxembourg,0
g11_00094_13,lithuania,0
g4_0000011776-0000007168,brazil,2
g7_00016_1,spain,0
g4_0000009728-0000003072,brazil,2
g13-5_00121_5,sweden,0
g23_00056_10,netherlands,0
g82_00043_6,austria,0
g165_00055_10,france,0
g15_00140_7,estonia,0
g11_00120_2,lithuania,0
g95_00032_6,austria,0
g212_00051_8,france,0
g23_00103_9,netherlands,1
g13-5_00011_16,sweden,2
g83_00002_9,austria,0
g26_00013_0,latvia,1
g1_0000005120-0000006144,brazil,1
g4_00045_2,spain,0
g1_00006_7,south_africa,0
g4_00024_3,spain,0
g6-0_00007_13,sweden,0
g15-1_00150_10,finland,1
g2_00094_5,slovakia,2
g10-3_00065_11,croatia,0
g165_00096_11,france,0
g14-2_00041_18,croatia,0
g14-2_00078_10,croatia,0
g42_0000000512-0000001024,vietnam,0
g16_00049_9,netherlands,0
g21_00102_2,slovakia,2
g13-5_00131_8,sweden,0
g95_00015_12,austria,0
g31_00037_11,latvia,1
g13-5_00068_14,sweden,0
g165_00081_0,france,1
g13_00033_12,slovenia,0
g2_0000005632-0000010240,brazil,1
g2_0591,india,1
g1_00002_5,germany,0
g2_0000013824-0000006656,brazil,2
g1_00014_16,south_africa,2
g26_00046_2,latvia,0
g79_00050_6,austria,0
g78_00023_15,austria,0
g7_00039_11,spain,0
g2_00016_7,slovakia,2
g11_00107_5,lithuania,0
g6_00060_17,slovenia,1
g16_00071_8,netherlands,0
g23_00099_7,netherlands,0
g2_00008_5,belgium,1
g2_00017_18,germany,2
g15-1_00059_12,finland,0
g22_00048_14,denmark,2
g15-1_00091_2,finland,1
g95_00048_18,austria,0
g14-2_00045_14,croatia,1
g13-5_00065_8,sweden,2
g10_00085_8,estonia,1
g78_00044_8,austria,0
g5_0000001024-0000001024,portugal,0
g10_00081_2,estonia,0
g1_0000006656-0000002048,brazil,2
g0_0000000000-0000001536,vietnam,0
g4_0000001536-0000010752,brazil,1
g82_00010_16,austria,0
g212_00060_1,france,0
g165_00009_0,france,0
g6-0_00009_6,sweden,1
g15_00007_15,estonia,0
g6_00057_2,denmark,2
g47_0000001024-0000001024,vietnam,0
g212_00054_11,france,0
g15_00163_6,estonia,1
g77_00034_1,austria,0
g15-1_00108_18,finland,1
g11_00024_4,lithuania,0
g15_00157_0,estonia,1
g2_00004_17,germany,0
g15-1_00015_6,finland,0
g21_00068_15,slovakia,2
g2_00026_15,slovakia,2
g13-5_00038_18,sweden,0
g15-1_00037_15,finland,1
g15-1_00101_1,finland,0
g2_00009_1,germany,2
g6-0_00062_15,sweden,0
g212_00039_14,france,1
g13-5_00049_3,sweden,2
g6_00062_5,denmark,2
g41_00014_10,latvia,0
g25_00014_17,latvia,0
g13_00054_16,slovenia,0
g14-2_00032_1,croatia,0
g1_00014_4,germany,2
g1_00009_2,germany,0
g1_0000000000-0000001536,portugal,0
g2_0000026112-0000006144,brazil,2
g11_00028_3,lithuania,0
g78_00031_15,austria,0
g10_00061_1,estonia,1
g46_0000000000-0000001024,vietnam,0
g165_00098_8,france,0
g6-0_00090_11,sweden,0
g6_00052_1,denmark,2
g41_00040_12,latvia,0
g2_00060_16,slovakia,0
g79_00015_6,austria,0
g14-1_00097_18,finland,0
g48_0000000512-0000000000,vietnam,0
g94_00002_10,austria,0
g15-1_00116_3,finland,1
g21_00058_10,slovakia,1
g10-3_00088_6,croatia,0
g23_00085_10,netherlands,0
g21_00009_1,slovakia,0
g2_0215,india,1
g2_00003_17,slovakia,2
g10_00040_13,estonia,0
1592619,rwanda,1
g10-3_00050_18,croatia,0
g52_0000001024-0000000000,vietnam,0
g6_00088_13,denmark,2
g15-1_00155_9,finland,0
g95_00051_11,austria,0
g6_00016_11,belgium,0
g26_00041_15,latvia,0
g165_00079_10,france,2
g79_00035_13,austria,0
g6-0_00036_6,sweden,0
g15-1_00029_12,finland,0
g11_00084_13,lithuania,0
g2_00106_8,slovakia,2
g13-5_00031_4,sweden,0
g83_00049_17,austria,0
g14-1_00003_18,finland,0
g26_00054_9,latvia,0
g22_00083_3,denmark,2
g82_00048_5,austria,0
g83_00012_15,austria,0
g25_00006_13,latvia,2
g31_00003_14,latvia,0
g11_00077_12,lithuania,2
g43_0000001024-0000000512,vietnam,0
g94_00036_0,austria,0
g6_00027_4,belgium,0
g14-1_00014_18,finland,0
g1_00001_7,south_africa,0
g13-5_00135_11,sweden,0
g16_00060_12,netherlands,1
g23_00083_12,netherlands,0
g1_00011_3,germany,2
g19_00016_11,latvia,0
g22_00079_11,denmark,2
g0_00027_15,luxembourg,0
g11_00029_7,lithuania,1
g1_00001_5,south_africa,0
g8_00108_4,lithuania,1
g23_00067_4,netherlands,0
g2_1363,india,1
g13-5_00027_15,sweden,0
g212_00082_3,france,0
g1_00002_15,south_africa,1
g31_00063_12,latvia,1
g7_00030_1,spain,1
g1_00010_16,spain,0
g8_00117_9,lithuania,0
g50_00051_12,latvia,1
g11_00009_3,lithuania,0
g15-1_00084_10,finland,0
g16_00036_6,netherlands,0
g0_00031_12,luxembourg,0
g6_00084_13,denmark,2
g19_00056_16,latvia,0
g2_00014_0,slovakia,2
g31_00031_10,latvia,0
g22_00008_0,denmark,2
g21_00061_4,slovakia,2
g77_00030_1,austria,0
g16_00011_6,netherlands,0
g13-5_00007_13,sweden,2
g13_00035_4,slovenia,0
g6_00012_6,slovenia,0
g83_00021_13,austria,0
g2_00057_18,belgium,0
g6-0_00080_8,sweden,1
g83_00029_12,austria,0
